Date,AAPL,YHOO,MSFT,C,GOOG
2014-01-02,78.11,39.59,36.4,52.24,0.0
2014-01-03,76.4,40.12,36.15,53.37,0.0
2014-01-06,76.81,39.93,35.39,53.78,0.0
2014-01-07,76.26,40.92,35.66,54.15,0.0
2014-01-08,76.75,41.02,35.03,54.78,0.0
2014-01-09,75.77,40.92,34.8,55.17,0.0
2014-01-10,75.26,41.23,35.3,54.69,0.0
2014-01-13,75.65,39.99,34.26,53.69,0.0
2014-01-14,77.16,41.14,35.05,53.92,0.0
2014-01-15,78.71,41.07,36.01,54.96,0.0
2014-01-16,78.27,40.34,36.13,52.57,0.0
2014-01-17,76.35,40.01,35.63,52.24,0.0
2014-01-21,77.54,39.52,35.43,51.82,0.0
2014-01-22,77.88,40.18,35.19,51.87,0.0
2014-01-23,78.54,39.39,35.32,50.69,0.0
2014-01-24,77.12,37.91,36.05,49.3,0.0
2014-01-27,77.74,36.65,35.29,48.78,0.0
2014-01-28,71.53,38.22,35.53,49.57,0.0
2014-01-29,70.72,34.89,35.91,48.05,0.0
2014-01-30,70.58,35.31,36.1,48.28,0.0
2014-01-31,70.69,36.01,37.06,47.41,0.0
2014-02-03,70.83,34.9,35.73,46.32,0.0
2014-02-04,71.85,35.66,35.6,46.76,0.0
2014-02-05,72.39,35.49,35.09,47.04,0.0
2014-02-06,72.81,36.24,35.44,48.23,0.0
2014-02-07,73.83,37.23,35.81,49.32,0.0
2014-02-10,75.15,37.76,36.05,49.3,0.0
2014-02-11,76.14,38.5,36.41,49.64,0.0
2014-02-12,76.13,38.11,36.7,49.94,0.0
2014-02-13,77.34,38.52,36.84,49.84,0.0
2014-02-14,77.28,38.23,36.85,49.5,0.0
2014-02-18,77.57,38.31,36.93,49.36,0.0
2014-02-19,76.34,37.81,37.02,48.17,0.0
2014-02-20,75.46,37.79,37.25,48.11,0.0
2014-02-21,74.62,37.29,37.48,48.24,0.0
2014-02-24,74.95,37.42,37.19,48.96,0.0
2014-02-25,74.17,37.26,37.05,48.38,0.0
2014-02-26,73.5,37.62,36.98,48.3,0.0
2014-02-27,74.96,38.47,37.36,48.67,0.0
