VIX Index;;;UX1 Index;;;UX2 Index;;;UX3 Index;
Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST;;Date;PX_LAST
#NOM?;25,61;;#NOM?;26,3;;#NOM?;27,95;;#NOM?;28,1
01/10/09;28,27;;01/10/09;27,8;;01/10/09;28,75;;01/10/09;28,85
02/10/09;28,68;;02/10/09;27,85;;02/10/09;28,8;;02/10/09;29
05/10/09;26,84;;05/10/09;26,8;;05/10/09;27,95;;05/10/09;28,35
06/10/09;25,7;;06/10/09;26;;06/10/09;27,45;;06/10/09;27,75
07/10/09;24,68;;07/10/09;25,4;;07/10/09;27,35;;07/10/09;27,65
08/10/09;24,18;;08/10/09;25,05;;08/10/09;27,05;;08/10/09;27,3
09/10/09;23,12;;09/10/09;24,55;;09/10/09;26,5;;09/10/09;27,05
12/10/09;23,01;;12/10/09;24,05;;12/10/09;25,75;;12/10/09;26,55
13/10/09;22,99;;13/10/09;23,55;;13/10/09;25,6;;13/10/09;26,4
14/10/09;22,86;;14/10/09;23,25;;14/10/09;25,4;;14/10/09;26,2
15/10/09;21,72;;15/10/09;22,35;;15/10/09;24,9;;15/10/09;25,75
16/10/09;21,43;;16/10/09;22,35;;16/10/09;25,3;;16/10/09;26,05
19/10/09;21,49;;19/10/09;21,4;;19/10/09;24,65;;19/10/09;25,55
20/10/09;20,9;;20/10/09;21,1;;20/10/09;24,55;;20/10/09;25,55
21/10/09;22,22;;21/10/09;24,55;;21/10/09;25,65;;21/10/09;26,35
22/10/09;20,69;;22/10/09;23,65;;22/10/09;25,1;;22/10/09;25,95
23/10/09;22,27;;23/10/09;24,05;;23/10/09;25,45;;23/10/09;26,15
26/10/09;24,31;;26/10/09;24,55;;26/10/09;25,95;;26/10/09;26,7
27/10/09;24,83;;27/10/09;24,65;;27/10/09;25,85;;27/10/09;26,6
28/10/09;27,91;;28/10/09;26,65;;28/10/09;26,9;;28/10/09;27,6
29/10/09;24,76;;29/10/09;25,05;;29/10/09;25,8;;29/10/09;26,6
30/10/09;30,69;;30/10/09;27,85;;30/10/09;27,7;;30/10/09;27,95
02/11/09;29,78;;02/11/09;28;;02/11/09;28,1;;02/11/09;28,2
03/11/09;28,81;;03/11/09;28,1;;03/11/09;28,3;;03/11/09;28,45
04/11/09;27,72;;04/11/09;27,6;;04/11/09;28,05;;04/11/09;28,05
05/11/09;25,43;;05/11/09;25,9;;05/11/09;27,25;;05/11/09;27,6
06/11/09;24,19;;06/11/09;25,1;;06/11/09;26,4;;06/11/09;27
09/11/09;23,15;;09/11/09;23,5;;09/11/09;24,9;;09/11/09;26,15
10/11/09;22,84;;10/11/09;23,5;;10/11/09;25,1;;10/11/09;26,5
11/11/09;23,04;;11/11/09;23,65;;11/11/09;25,15;;11/11/09;26,8
12/11/09;24,24;;12/11/09;24,8;;12/11/09;26,25;;12/11/09;27,7
13/11/09;23,36;;13/11/09;24,25;;13/11/09;25,85;;13/11/09;27,45
16/11/09;22,89;;16/11/09;23,4;;16/11/09;25,45;;16/11/09;27
17/11/09;22,41;;17/11/09;22,55;;17/11/09;25,35;;17/11/09;27,05
18/11/09;21,63;;18/11/09;24,4;;18/11/09;26,85;;18/11/09;27,65
19/11/09;22,63;;19/11/09;24,7;;19/11/09;27,25;;19/11/09;28
20/11/09;22,19;;20/11/09;24,2;;20/11/09;27;;20/11/09;27,8
23/11/09;21,16;;23/11/09;22,85;;23/11/09;26,4;;23/11/09;27,2
24/11/09;20,47;;24/11/09;22,7;;24/11/09;26,05;;24/11/09;27,15
25/11/09;20,48;;25/11/09;22,35;;25/11/09;25,8;;25/11/09;27
27/11/09;24,74;;27/11/09;24,05;;27/11/09;27,15;;27/11/09;28,2
30/11/09;24,51;;30/11/09;24,1;;30/11/09;27,15;;30/11/09;28,15
